TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;
1529154079;6/16/2018 1:01:19 PM;21.0556;28.3333;55;1009.11;12.8748;138;
1529154143;6/16/2018 1:02:23 PM;21.1111;28.3333;54;1009.11;9.65606;147;
1529154208;6/16/2018 1:03:28 PM;21.2222;28.3333;54;1009.08;1.60934;196;
1529154273;6/16/2018 1:04:33 PM;21.3333;28.3333;55;1009.05;8.04672;135;
1529154340;6/16/2018 1:05:40 PM;21.4444;28.3333;55;1009.08;8.04672;81;
1529154405;6/16/2018 1:06:45 PM;21.4444;28.8889;54;1009.08;8.04672;86;
1529154468;6/16/2018 1:07:48 PM;21.4444;28.8889;55;1009.01;8.04672;84;
1529154535;6/16/2018 1:08:55 PM;21.4444;28.3333;54;1009.05;8.04672;90;
1529154599;6/16/2018 1:09:59 PM;21.3889;27.7778;54;1009.01;8.04672;207;
1529154665;6/16/2018 1:11:05 PM;21.3889;27.7778;55;1009.05;8.04672;92;
1529154730;6/16/2018 1:12:10 PM;21.3333;27.7778;55;1009.01;11.2654;105;
1529154794;6/16/2018 1:13:14 PM;21.2778;27.2222;55;1009.01;4.82803;117;
1529154861;6/16/2018 1:14:21 PM;21.3333;27.2222;55;1009.05;6.43738;149;
1529154924;6/16/2018 1:15:24 PM;21.2778;27.2222;55;1009.05;6.43738;263;
1529154991;6/16/2018 1:16:31 PM;21.3333;27.2222;55;1009.05;4.82803;119;
1529155056;6/16/2018 1:17:36 PM;21.3333;27.2222;54;1009.08;9.65606;81;
1529155121;6/16/2018 1:18:41 PM;21.3333;27.2222;55;1009.05;3.21869;127;
1529155186;6/16/2018 1:19:46 PM;21.2778;27.2222;55;1009.05;4.82803;107;
1529155250;6/16/2018 1:20:50 PM;21.3333;27.7778;56;1009.01;6.43738;150;
1529155316;6/16/2018 1:21:56 PM;21.3333;27.7778;55;1009.05;12.8748;86;
1529155381;6/16/2018 1:23:01 PM;21.3889;27.7778;55;1008.98;11.2654;114;
1529155446;6/16/2018 1:24:06 PM;21.3333;27.7778;54;1009.05;11.2654;59;
1529155511;6/16/2018 1:25:11 PM;21.2222;27.7778;55;1009.08;8.04672;126;
1529155575;6/16/2018 1:26:15 PM;21.2222;28.3333;55;1009.08;11.2654;88;
1529155642;6/16/2018 1:27:22 PM;21.1111;28.3333;55;1009.08;9.65606;82;
1529155707;6/16/2018 1:28:27 PM;21;28.3333;56;1009.11;12.8748;100;
1529155772;6/16/2018 1:29:32 PM;20.9444;28.8889;55;1009.08;12.8748;111;
1529155837;6/16/2018 1:30:37 PM;21;28.3333;56;1009.11;11.2654;175;
1529155901;6/16/2018 1:31:41 PM;21;27.7778;55;1009.11;9.65606;173;
1529155967;6/16/2018 1:32:47 PM;21;27.7778;56;1009.15;8.04672;79;
1529156032;6/16/2018 1:33:52 PM;21.0556;27.2222;56;1009.08;12.8748;102;
1529156097;6/16/2018 1:34:57 PM;21.0556;27.2222;54;1009.11;12.8748;167;
1529156162;6/16/2018 1:36:02 PM;21.0556;28.3333;55;1009.05;12.8748;185;
1529156226;6/16/2018 1:37:06 PM;21.1667;28.8889;55;1009.05;16.0934;190;
1529156293;6/16/2018 1:38:13 PM;21.2778;28.8889;56;1009.08;11.2654;175;
1529156358;6/16/2018 1:39:18 PM;21.4444;29.4444;56;1009.01;6.43738;102;
1529156423;6/16/2018 1:40:23 PM;21.5556;30;55;1008.98;6.43738;169;
1529156488;6/16/2018 1:41:28 PM;21.6667;30.5556;55;1009.01;8.04672;124;
1529156552;6/16/2018 1:42:32 PM;21.7778;30.5556;55;1009.05;9.65606;132;
1529156618;6/16/2018 1:43:38 PM;21.7778;30;55;1009.08;8.04672;123;
1529156683;6/16/2018 1:44:43 PM;21.8333;30;55;1009.01;12.8748;173;
1529156748;6/16/2018 1:45:48 PM;21.8889;29.4444;55;1009.05;8.04672;181;
1529156814;6/16/2018 1:46:54 PM;21.9444;29.4444;55;1008.98;14.4841;215;
1529156877;6/16/2018 1:47:57 PM;22.0556;28.8889;54;1009.01;12.8748;164;
1529156944;6/16/2018 1:49:04 PM;22.0556;29.4444;53;1008.94;16.0934;169;
1529157009;6/16/2018 1:50:09 PM;22.0556;28.8889;53;1009.01;14.4841;179;
1529157074;6/16/2018 1:51:14 PM;22;28.3333;53;1008.94;11.2654;70;
1529157139;6/16/2018 1:52:19 PM;21.8889;28.3333;53;1008.98;6.43738;105;
1529157203;6/16/2018 1:53:23 PM;21.7778;28.8889;53;1008.98;14.4841;179;
1529157268;6/16/2018 1:54:28 PM;21.6667;27.2222;53;1009.01;11.2654;118;
1529157334;6/16/2018 1:55:34 PM;21.6111;27.2222;54;1008.98;6.43738;121;
1529157399;6/16/2018 1:56:39 PM;21.5556;27.2222;54;1009.01;4.82803;111;
1529157465;6/16/2018 1:57:45 PM;21.5;27.2222;54;1008.98;6.43738;228;
1529157528;6/16/2018 1:58:48 PM;21.5;27.2222;56;1009.01;9.65606;82;
1529157595;6/16/2018 1:59:55 PM;21.5;27.2222;55;1008.98;14.4841;107;
1529157658;6/16/2018 2:00:58 PM;21.3333;27.7778;55;1008.98;6.43738;71;
1529157725;6/16/2018 2:02:05 PM;21.2778;27.7778;56;1009.01;8.04672;77;
1529157790;6/16/2018 2:03:10 PM;21.2778;27.7778;55;1009.01;14.4841;57;
1529157854;6/16/2018 2:04:14 PM;21.2778;27.7778;56;1008.98;11.2654;92;
1529157920;6/16/2018 2:05:20 PM;21.3333;27.7778;57;1009.05;9.65606;133;
1529157984;6/16/2018 2:06:24 PM;21.3333;27.2222;56;1009.01;12.8748;107;
1529158050;6/16/2018 2:07:30 PM;21.2778;27.2222;55;1009.01;9.65606;96;
1529158116;6/16/2018 2:08:36 PM;21.2778;27.7778;56;1008.98;6.43738;72;
1529158179;6/16/2018 2:09:39 PM;21.2778;28.3333;54;1008.98;4.82803;39;
1529158244;6/16/2018 2:10:44 PM;21.2778;28.3333;55;1008.94;12.8748;82;
1529158309;6/16/2018 2:11:49 PM;21.2778;28.8889;56;1008.91;12.8748;113;
1529158376;6/16/2018 2:12:56 PM;21.3333;28.3333;55;1008.91;6.43738;105;
1529158441;6/16/2018 2:14:01 PM;21.3333;28.3333;56;1008.88;4.82803;189;
1529158505;6/16/2018 2:15:05 PM;21.3889;28.3333;56;1008.88;6.43738;71;
1529158571;6/16/2018 2:16:11 PM;21.3889;28.3333;55;1008.88;11.2654;83;
1529158635;6/16/2018 2:17:15 PM;21.4444;28.3333;55;1008.91;12.8748;76;
1529158701;6/16/2018 2:18:21 PM;21.3889;28.3333;56;1008.91;9.65606;96;
1529158767;6/16/2018 2:19:27 PM;21.3333;28.3333;55;1008.84;6.43738;105;
1529158830;6/16/2018 2:20:30 PM;21.2778;28.8889;55;1008.88;12.8748;102;
1529158897;6/16/2018 2:21:37 PM;21.2778;30;56;1008.84;3.21869;102;
1529158960;6/16/2018 2:22:40 PM;21.2778;30.5556;56;1008.84;6.43738;108;
1529159027;6/16/2018 2:23:47 PM;21.3333;30.5556;56;1008.88;3.21869;62;
1529159092;6/16/2018 2:24:52 PM;21.3889;30.5556;56;1008.88;8.04672;194;
1529159156;6/16/2018 2:25:56 PM;21.4444;29.4444;56;1008.81;8.04672;95;
1529159222;6/16/2018 2:27:02 PM;21.5;29.4444;57;1008.81;17.7028;111;
1529159286;6/16/2018 2:28:06 PM;21.5;28.3333;55;1008.88;14.4841;94;
1529159352;6/16/2018 2:29:12 PM;21.3889;27.7778;55;1008.88;12.8748;112;
1529159418;6/16/2018 2:30:18 PM;21.3333;27.2222;55;1008.94;12.8748;101;
1529159481;6/16/2018 2:31:21 PM;21.3333;28.3333;56;1008.91;12.8748;93;
1529159548;6/16/2018 2:32:28 PM;21.2778;28.3333;56;1008.84;16.0934;100;
1529159611;6/16/2018 2:33:31 PM;21.2778;28.3333;55;1008.94;4.82803;66;
1529159678;6/16/2018 2:34:38 PM;21.2778;27.7778;55;1008.94;9.65606;130;
1529159743;6/16/2018 2:35:43 PM;21.3333;27.2222;56;1008.94;9.65606;101;
1529159807;6/16/2018 2:36:47 PM;21.3333;27.7778;56;1008.91;11.2654;98;
1529159873;6/16/2018 2:37:53 PM;21.3333;28.3333;56;1008.94;11.2654;123;
1529159937;6/16/2018 2:38:57 PM;21.4444;28.3333;56;1008.91;6.43738;117;
1529160004;6/16/2018 2:40:04 PM;21.5;28.3333;55;1008.94;6.43738;130;
1529160067;6/16/2018 2:41:07 PM;21.6111;27.7778;56;1008.94;6.43738;153;
1529160132;6/16/2018 2:42:12 PM;21.6667;27.7778;57;1008.91;9.65606;98;
1529160199;6/16/2018 2:43:19 PM;21.6667;27.7778;54;1008.91;6.43738;104;
1529160264;6/16/2018 2:44:24 PM;21.6667;27.7778;54;1008.88;11.2654;202;
1529160329;6/16/2018 2:45:29 PM;21.6111;27.2222;55;1008.91;8.04672;231;
1529160393;6/16/2018 2:46:33 PM;21.6111;27.2222;54;1008.91;12.8748;98;
1529160458;6/16/2018 2:47:38 PM;21.5556;26.6667;53;1008.91;12.8748;76;
1529160524;6/16/2018 2:48:44 PM;21.4444;26.6667;54;1008.94;8.04672;138;
1529160590;6/16/2018 2:49:50 PM;21.4444;26.1111;54;1008.94;12.8748;61;
1529160655;6/16/2018 2:50:55 PM;21.3889;26.1111;55;1008.91;8.04672;112;
1529160718;6/16/2018 2:51:58 PM;21.3333;26.1111;55;1008.91;12.8748;87;
1529160783;6/16/2018 2:53:03 PM;21.3333;25.5556;55;1008.98;9.65606;155;
1529160850;6/16/2018 2:54:10 PM;21.2778;26.1111;56;1008.94;4.82803;96;
1529160915;6/16/2018 2:55:15 PM;21.2778;26.1111;56;1008.94;8.04672;115;
1529160980;6/16/2018 2:56:20 PM;21.3333;26.1111;57;1008.91;8.04672;156;
1529161044;6/16/2018 2:57:24 PM;21.3889;26.1111;56;1008.88;6.43738;156;
1529161109;6/16/2018 2:58:29 PM;21.3889;26.6667;55;1008.98;11.2654;112;
1529161175;6/16/2018 2:59:35 PM;21.4444;26.6667;56;1008.98;4.82803;161;
1529161240;6/16/2018 3:00:40 PM;21.5;26.6667;57;1008.94;6.43738;183;
1529161306;6/16/2018 3:01:46 PM;21.5556;26.6667;57;1008.98;9.65606;86;
1529161369;6/16/2018 3:02:49 PM;21.6111;26.6667;56;1008.94;3.21869;169;
1529161434;6/16/2018 3:03:54 PM;21.6111;26.1111;56;1008.94;9.65606;91;
1529161501;6/16/2018 3:05:01 PM;21.6111;26.1111;56;1008.88;6.43738;130;
1529161566;6/16/2018 3:06:06 PM;21.5556;26.1111;57;1008.94;4.82803;77;
1529161631;6/16/2018 3:07:11 PM;21.5556;26.1111;56;1008.94;11.2654;96;
1529161695;6/16/2018 3:08:15 PM;21.5;26.1111;56;1008.94;12.8748;98;
1529161760;6/16/2018 3:09:20 PM;21.3889;26.1111;56;1008.94;8.04672;84;
1529161826;6/16/2018 3:10:26 PM;21.3333;26.1111;58;1008.94;3.21869;146;
1529161892;6/16/2018 3:11:32 PM;21.3889;26.1111;56;1008.94;11.2654;96;
1529161957;6/16/2018 3:12:37 PM;21.3333;26.1111;56;1008.91;8.04672;344;
1529162020;6/16/2018 3:13:40 PM;21.2778;26.1111;56;1008.91;6.43738;233;
1529162085;6/16/2018 3:14:45 PM;21.2222;26.1111;58;1008.88;9.65606;79;
1529162152;6/16/2018 3:15:52 PM;21.2222;26.1111;58;1008.94;3.21869;120;
1529162217;6/16/2018 3:16:57 PM;21.1667;26.1111;59;1008.91;6.43738;108;
1529162282;6/16/2018 3:18:02 PM;21.2222;26.1111;59;1008.91;9.65606;219;
1529162346;6/16/2018 3:19:06 PM;21.2778;26.1111;59;1008.94;8.04672;100;
1529162411;6/16/2018 3:20:11 PM;21.2778;26.6667;58;1008.94;3.21869;47;
1529162476;6/16/2018 3:21:16 PM;21.2778;26.6667;58;1008.88;9.65606;133;
1529162542;6/16/2018 3:22:22 PM;21.2778;26.1111;58;1008.91;9.65606;138;
1529162608;6/16/2018 3:23:28 PM;21.2778;26.1111;57;1008.94;9.65606;95;
1529162673;6/16/2018 3:24:33 PM;21.2222;25.5556;58;1008.91;8.04672;177;
1529162736;6/16/2018 3:25:36 PM;21.2222;25.5556;58;1008.94;4.82803;144;
1529162801;6/16/2018 3:26:41 PM;21.2222;25.5556;59;1008.91;8.04672;159;
1529162868;6/16/2018 3:27:48 PM;21.2222;25.5556;58;1008.91;8.04672;119;
1529162933;6/16/2018 3:28:53 PM;21.1667;25.5556;58;1008.94;6.43738;76;
1529162998;6/16/2018 3:29:58 PM;21.1667;25.5556;59;1008.84;12.8748;171;
1529163062;6/16/2018 3:31:02 PM;21.1667;25;59;1008.88;4.82803;178;
1529163127;6/16/2018 3:32:07 PM;21.2222;25;60;1008.88;4.82803;197;
1529163193;6/16/2018 3:33:13 PM;21.2778;25;59;1008.91;1.60934;57;
1529163259;6/16/2018 3:34:19 PM;21.2778;25;58;1008.88;8.04672;156;
1529163324;6/16/2018 3:35:24 PM;21.2778;25;58;1008.88;4.82803;86;
1529163387;6/16/2018 3:36:27 PM;21.2222;24.4444;58;1008.81;9.65606;82;
1529163452;6/16/2018 3:37:32 PM;21.1667;23.8889;58;1008.88;11.2654;95;
1529163519;6/16/2018 3:38:39 PM;21.0556;23.8889;58;1008.88;11.2654;95;
1529163584;6/16/2018 3:39:44 PM;21.0556;23.8889;58;1008.91;11.2654;80;
1529163649;6/16/2018 3:40:49 PM;21;23.8889;58;1008.88;6.43738;114;
1529163713;6/16/2018 3:41:53 PM;20.9444;23.8889;58;1008.91;8.04672;108;
1529163778;6/16/2018 3:42:58 PM;20.9444;23.8889;58;1008.91;8.04672;117;
1529163844;6/16/2018 3:44:04 PM;20.9444;23.8889;58;1008.88;9.65606;83;
1529163910;6/16/2018 3:45:10 PM;20.8889;23.8889;58;1008.91;4.82803;93;
1529163975;6/16/2018 3:46:15 PM;20.8333;23.8889;59;1008.88;11.2654;51;
1529164038;6/16/2018 3:47:18 PM;20.8333;23.8889;59;1008.94;12.8748;100;
1529164103;6/16/2018 3:48:23 PM;20.8333;23.8889;60;1008.91;14.4841;97;
1529164169;6/16/2018 3:49:29 PM;20.8333;23.8889;60;1008.88;8.04672;106;
1529164235;6/16/2018 3:50:35 PM;20.8333;23.8889;60;1008.91;6.43738;55;
1529164300;6/16/2018 3:51:40 PM;20.8333;23.8889;60;1008.94;4.82803;123;
1529164364;6/16/2018 3:52:44 PM;20.8333;23.8889;60;1008.98;8.04672;84;
1529164429;6/16/2018 3:53:49 PM;20.8333;24.4444;60;1008.94;11.2654;76;
1529164496;6/16/2018 3:54:56 PM;20.8333;24.4444;60;1009.01;16.0934;80;
1529164561;6/16/2018 3:56:01 PM;20.7778;24.4444;60;1009.05;11.2654;97;
1529164626;6/16/2018 3:57:06 PM;20.7222;24.4444;60;1009.01;8.04672;71;
1529164689;6/16/2018 3:58:09 PM;20.6667;24.4444;61;1008.98;8.04672;93;
1529164755;6/16/2018 3:59:15 PM;20.6667;25;61;1009.05;11.2654;67;
1529164821;6/16/2018 4:00:21 PM;20.6667;25;61;1009.08;6.43738;142;
1529164886;6/16/2018 4:01:26 PM;20.6667;25;61;1008.98;3.21869;75;
1529164951;6/16/2018 4:02:31 PM;20.6667;25;62;1009.05;6.43738;76;
1529165015;6/16/2018 4:03:35 PM;20.6667;24.4444;62;1009.05;8.04672;123;
1529165081;6/16/2018 4:04:41 PM;20.6667;24.4444;61;1009.08;4.82803;80;
1529165147;6/16/2018 4:05:47 PM;20.7222;24.4444;61;1009.08;8.04672;44;
1529165210;6/16/2018 4:06:50 PM;20.7222;24.4444;61;1009.08;11.2654;97;
1529165277;6/16/2018 4:07:57 PM;20.6667;24.4444;61;1009.11;11.2654;99;
1529165340;6/16/2018 4:09:00 PM;20.7222;24.4444;61;1009.11;9.65606;142;
1529165407;6/16/2018 4:10:07 PM;20.7222;24.4444;61;1009.11;6.43738;75;
1529165472;6/16/2018 4:11:12 PM;20.7222;23.8889;61;1009.11;14.4841;114;
1529165536;6/16/2018 4:12:16 PM;20.7222;23.8889;61;1009.05;9.65606;158;
1529165602;6/16/2018 4:13:22 PM;20.7222;23.8889;61;1009.11;8.04672;105;
1529165666;6/16/2018 4:14:26 PM;20.6667;23.3333;61;1009.11;8.04672;59;
1529165732;6/16/2018 4:15:32 PM;20.6667;23.8889;61;1009.18;9.65606;94;
1529165798;6/16/2018 4:16:38 PM;20.6667;23.8889;62;1009.18;14.4841;98;
1529165861;6/16/2018 4:17:41 PM;20.6667;23.8889;61;1009.15;3.21869;63;
1529165928;6/16/2018 4:18:48 PM;20.6667;23.8889;61;1009.18;9.65606;52;
1529165991;6/16/2018 4:19:51 PM;20.6667;23.8889;61;1009.18;11.2654;198;
1529166058;6/16/2018 4:20:58 PM;20.6111;23.8889;61;1009.18;14.4841;85;
1529166123;6/16/2018 4:22:03 PM;20.6667;23.8889;61;1009.18;9.65606;225;
1529166187;6/16/2018 4:23:07 PM;20.6667;23.8889;61;1009.25;8.04672;88;
1529166253;6/16/2018 4:24:13 PM;20.6667;23.8889;60;1009.25;11.2654;66;
1529166317;6/16/2018 4:25:17 PM;20.6111;23.8889;61;1009.21;8.04672;72;
1529166383;6/16/2018 4:26:23 PM;20.5556;24.4444;61;1009.21;4.82803;112;
1529166449;6/16/2018 4:27:29 PM;20.6111;23.8889;62;1009.21;8.04672;135;
1529166512;6/16/2018 4:28:32 PM;20.6667;23.8889;62;1009.18;4.82803;120;
1529166579;6/16/2018 4:29:39 PM;20.6667;23.8889;61;1009.21;8.04672;99;
1529166642;6/16/2018 4:30:42 PM;20.7222;23.8889;62;1009.25;6.43738;105;
1529166709;6/16/2018 4:31:49 PM;20.7222;23.8889;62;1009.28;4.82803;113;
1529166774;6/16/2018 4:32:54 PM;20.7778;23.8889;62;1009.25;11.2654;78;
1529166838;6/16/2018 4:33:58 PM;20.7778;23.8889;62;1009.28;9.65606;196;
1529166904;6/16/2018 4:35:04 PM;20.8333;23.8889;61;1009.25;11.2654;105;
1529166968;6/16/2018 4:36:08 PM;20.7778;23.8889;62;1009.25;8.04672;108;
1529167035;6/16/2018 4:37:15 PM;20.7778;23.8889;62;1009.25;14.4841;112;
1529167100;6/16/2018 4:38:20 PM;20.7778;23.3333;62;1009.21;11.2654;119;
1529167163;6/16/2018 4:39:23 PM;20.6667;23.3333;62;1009.25;8.04672;173;
1529167228;6/16/2018 4:40:28 PM;20.6667;23.3333;62;1009.25;4.82803;70;
1529167293;6/16/2018 4:41:33 PM;20.6667;23.3333;62;1009.32;6.43738;150;
1529167360;6/16/2018 4:42:40 PM;20.6111;23.3333;62;1009.32;9.65606;93;
1529167425;6/16/2018 4:43:45 PM;20.6667;23.3333;61;1009.28;8.04672;86;
1529167490;6/16/2018 4:44:50 PM;20.6667;23.3333;61;1009.32;8.04672;184;
1529167555;6/16/2018 4:45:55 PM;20.6111;23.3333;62;1009.28;9.65606;82;
1529167619;6/16/2018 4:46:59 PM;20.6111;23.3333;62;1009.35;14.4841;123;
1529167686;6/16/2018 4:48:06 PM;20.6111;23.8889;61;1009.28;11.2654;82;
1529167751;6/16/2018 4:49:11 PM;20.6111;24.4444;62;1009.25;4.82803;189;
1529167816;6/16/2018 4:50:16 PM;20.6667;25;62;1009.32;14.4841;114;
1529167881;6/16/2018 4:51:21 PM;20.6667;25;61;1009.25;12.8748;100;
1529167944;6/16/2018 4:52:24 PM;20.6667;24.4444;62;1009.25;3.21869;49;
1529168010;6/16/2018 4:53:30 PM;20.6111;24.4444;62;1009.21;9.65606;154;
1529168076;6/16/2018 4:54:36 PM;20.6667;23.8889;63;1009.25;3.21869;189;
1529168141;6/16/2018 4:55:41 PM;20.7222;23.8889;63;1009.32;8.04672;234;
1529168206;6/16/2018 4:56:46 PM;20.7222;23.3333;62;1009.25;9.65606;100;
1529168270;6/16/2018 4:57:50 PM;20.7222;23.3333;62;1009.28;12.8748;91;
1529168337;6/16/2018 4:58:57 PM;20.7222;23.3333;61;1009.32;6.43738;103;
1529168402;6/16/2018 5:00:02 PM;20.7222;23.3333;62;1009.28;8.04672;76;
1529168467;6/16/2018 5:01:07 PM;20.6667;23.3333;62;1009.35;1.60934;76;
1529168532;6/16/2018 5:02:12 PM;20.6667;23.3333;62;1009.32;12.8748;108;
1529168595;6/16/2018 5:03:15 PM;20.6667;23.3333;62;1009.35;8.04672;96;
1529168662;6/16/2018 5:04:22 PM;20.6111;23.3333;62;1009.35;6.43738;123;
1529168727;6/16/2018 5:05:27 PM;20.6111;22.7778;63;1009.38;9.65606;138;
1529168792;6/16/2018 5:06:32 PM;20.6111;22.7778;62;1009.32;8.04672;92;
1529168857;6/16/2018 5:07:37 PM;20.5556;22.7778;62;1009.32;11.2654;89;
1529168921;6/16/2018 5:08:41 PM;20.5556;22.7778;62;1009.28;8.04672;141;
1529168988;6/16/2018 5:09:48 PM;20.5;22.7778;62;1009.35;8.04672;70;
1529169053;6/16/2018 5:10:53 PM;20.5;22.7778;61;1009.32;12.8748;82;
1529169118;6/16/2018 5:11:58 PM;20.3889;22.7778;61;1009.28;4.82803;46;
1529169183;6/16/2018 5:13:03 PM;20.3333;22.7778;61;1009.35;9.65606;96;
1529169246;6/16/2018 5:14:06 PM;20.3333;22.7778;62;1009.32;9.65606;100;
1529169313;6/16/2018 5:15:13 PM;20.3333;22.7778;62;1009.32;11.2654;108;
1529169378;6/16/2018 5:16:18 PM;20.3333;22.2222;62;1009.35;9.65606;80;
1529169443;6/16/2018 5:17:23 PM;20.2778;22.2222;62;1009.32;9.65606;89;
1529169508;6/16/2018 5:18:28 PM;20.2778;22.2222;63;1009.35;11.2654;79;
1529169572;6/16/2018 5:19:32 PM;20.2778;22.2222;63;1009.38;8.04672;94;
1529169639;6/16/2018 5:20:39 PM;20.2778;22.2222;63;1009.35;8.04672;99;
1529169704;6/16/2018 5:21:44 PM;20.2222;22.2222;62;1009.35;8.04672;74;
1529169769;6/16/2018 5:22:49 PM;20.2222;22.2222;63;1009.35;3.21869;136;
1529169834;6/16/2018 5:23:54 PM;20.1667;22.2222;62;1009.35;14.4841;72;
1529169898;6/16/2018 5:24:58 PM;20.1667;22.2222;62;1009.35;8.04672;80;
1529169964;6/16/2018 5:26:04 PM;20.1667;22.2222;62;1009.35;9.65606;91;
1529170028;6/16/2018 5:27:08 PM;20.1667;22.2222;62;1009.35;11.2654;107;
1529170094;6/16/2018 5:28:14 PM;20.1111;22.2222;62;1009.38;9.65606;165;
1529170159;6/16/2018 5:29:19 PM;20.0556;21.6667;62;1009.38;8.04672;137;
1529170223;6/16/2018 5:30:23 PM;20.0556;21.6667;62;1009.42;6.43738;209;
1529170288;6/16/2018 5:31:28 PM;20;21.6667;62;1009.38;6.43738;185;
1529170353;6/16/2018 5:32:33 PM;20;22.2222;62;1009.38;11.2654;107;
1529170420;6/16/2018 5:33:40 PM;19.9444;22.2222;62;1009.35;8.04672;78;
1529170485;6/16/2018 5:34:45 PM;20;22.2222;62;1009.38;12.8748;78;
1529170550;6/16/2018 5:35:50 PM;19.9444;22.2222;63;1009.35;4.82803;223;
1529170615;6/16/2018 5:36:55 PM;19.9444;22.2222;63;1009.38;8.04672;69;
1529170679;6/16/2018 5:37:59 PM;19.9444;22.2222;63;1009.38;8.04672;82;
1529170745;6/16/2018 5:39:05 PM;19.9444;22.2222;64;1009.35;3.21869;50;
1529170810;6/16/2018 5:40:10 PM;20;22.2222;63;1009.35;4.82803;74;
1529170876;6/16/2018 5:41:16 PM;20;22.2222;63;1009.35;14.4841;84;
1529170941;6/16/2018 5:42:21 PM;20;22.2222;62;1009.35;14.4841;89;
1529171004;6/16/2018 5:43:24 PM;19.9444;22.2222;62;1009.28;4.82803;19;
1529171069;6/16/2018 5:44:29 PM;19.9444;22.2222;62;1009.35;8.04672;5;
1529171136;6/16/2018 5:45:36 PM;19.8889;22.2222;63;1009.38;9.65606;90;
1529171201;6/16/2018 5:46:41 PM;19.8889;21.6667;63;1009.35;4.82803;142;
1529171266;6/16/2018 5:47:46 PM;19.9444;21.6667;62;1009.42;6.43738;201;
1529171330;6/16/2018 5:48:50 PM;19.9444;21.6667;62;1009.45;11.2654;96;
1529171396;6/16/2018 5:49:56 PM;19.8889;21.6667;62;1009.42;12.8748;70;
1529171461;6/16/2018 5:51:01 PM;19.8889;21.6667;62;1009.45;11.2654;64;
1529171527;6/16/2018 5:52:07 PM;19.8889;21.6667;61;1009.49;11.2654;96;
1529171592;6/16/2018 5:53:12 PM;19.8889;21.6667;62;1009.45;12.8748;126;
1529171656;6/16/2018 5:54:16 PM;19.8333;21.6667;62;1009.49;9.65606;93;
1529171722;6/16/2018 5:55:22 PM;19.8889;21.6667;62;1009.45;11.2654;101;
1529171787;6/16/2018 5:56:27 PM;19.8333;21.6667;62;1009.38;14.4841;98;
1529171852;6/16/2018 5:57:32 PM;19.7778;21.6667;62;1009.45;12.8748;113;
1529171917;6/16/2018 5:58:37 PM;19.7778;21.6667;62;1009.38;12.8748;108;
1529171981;6/16/2018 5:59:41 PM;19.7222;21.1111;62;1009.42;11.2654;143;
1529172047;6/16/2018 6:00:47 PM;19.7222;21.1111;62;1009.45;11.2654;80;
1529172112;6/16/2018 6:01:52 PM;19.7222;21.1111;63;1009.45;12.8748;84;
1529172178;6/16/2018 6:02:58 PM;19.6667;21.1111;63;1009.45;9.65606;92;
1529172243;6/16/2018 6:04:03 PM;19.6667;21.1111;63;1009.45;9.65606;101;
1529172308;6/16/2018 6:05:08 PM;19.6667;21.6667;64;1009.49;9.65606;92;
1529172373;6/16/2018 6:06:13 PM;19.6667;21.6667;64;1009.49;4.82803;192;
1529172436;6/16/2018 6:07:16 PM;19.6667;21.6667;64;1009.45;12.8748;93;
1529172503;6/16/2018 6:08:23 PM;19.6667;21.6667;64;1009.49;9.65606;93;
1529172568;6/16/2018 6:09:28 PM;19.6667;21.6667;64;1009.45;12.8748;96;
1529172633;6/16/2018 6:10:33 PM;19.6111;21.6667;64;1009.52;11.2654;100;
1529172698;6/16/2018 6:11:38 PM;19.6667;21.6667;64;1009.59;11.2654;76;
1529172762;6/16/2018 6:12:42 PM;19.6111;21.6667;64;1009.52;4.82803;90;
1529172829;6/16/2018 6:13:49 PM;19.6111;21.1111;64;1009.55;8.04672;106;
1529172894;6/16/2018 6:14:54 PM;19.6111;21.1111;65;1009.59;3.21869;90;
1529172959;6/16/2018 6:15:59 PM;19.6111;21.1111;65;1009.59;6.43738;67;
1529173024;6/16/2018 6:17:04 PM;19.5556;21.1111;65;1009.62;8.04672;131;
1529173087;6/16/2018 6:18:07 PM;19.5556;21.1111;65;1009.66;6.43738;110;
1529173154;6/16/2018 6:19:14 PM;19.5556;21.1111;65;1009.66;9.65606;94;
1529173219;6/16/2018 6:20:19 PM;19.5556;21.1111;64;1009.72;12.8748;110;
1529173284;6/16/2018 6:21:24 PM;19.5556;21.1111;65;1009.69;8.04672;114;
1529173349;6/16/2018 6:22:29 PM;19.5556;21.1111;64;1009.69;9.65606;84;
1529173413;6/16/2018 6:23:33 PM;19.5556;20.5556;65;1009.72;11.2654;90;
1529173480;6/16/2018 6:24:40 PM;19.4444;20.5556;64;1009.76;11.2654;104;
1529173545;6/16/2018 6:25:45 PM;19.4444;20.5556;65;1009.82;6.43738;76;
1529173610;6/16/2018 6:26:50 PM;19.3889;20.5556;65;1009.76;9.65606;151;
1529173675;6/16/2018 6:27:55 PM;19.3889;20.5556;65;1009.76;4.82803;192;
1529173738;6/16/2018 6:28:58 PM;19.3889;20.5556;65;1009.79;4.82803;59;
1529173805;6/16/2018 6:30:05 PM;19.3889;20.5556;65;1009.76;16.0934;99;
